"nota","tgl","kode","tarif","fpkt"
"JL23070024","2023-07-14","0035","110000",
"JL23070025","2023-07-14","0028","97500","**"
"JL23070025","2023-07-14","0009","45000",
"JL23070026","2023-07-14","0028","130000",
"JL23070026","2023-07-14","0024","135000",
"JL23070027","2023-07-15","0019","101250","**"
"JL23070028","2023-07-15","0029","175000",
"JL23070029","2023-07-15","0010","40000",
"JL23070029","2023-07-15","0023","35000",
"JL23070030","2023-07-15","0012","65000",
"JL23070031","2023-07-16","0009","45000",
"JL23070032","2023-07-17","0003","95000",
"JL23070032","2023-07-17","0023","35000",
"JL23070033","2023-07-17","0006","45000",
"JL23070034","2023-07-17","0006","45000",
"JL23070035","2023-07-19","0015","35000",
"JL23070035","2023-07-19","0018","125000",
"JL23070036","2023-07-19","0015","35000",
"JL23070036","2023-07-19","0018","125000",
"JL23070037","2023-07-19","0024","135000",
"JL23070038","2023-07-19","0008","40000",
"JL23070038","2023-07-19","0009","45000",
"JL23070039","2023-07-20","0004","120000",
"JL23070040","2023-07-21","0019","135000",
"JL23070040","2023-07-21","0023","35000",
"JL23070040","2023-07-21","0038","20000",
"JL23070041","2023-07-21","0019","135000",
"JL23070041","2023-07-21","0023","35000",
"JL23070041","2023-07-21","0038","20000",
"JL23070042","2023-07-21","0015","35000",
"JL23070042","2023-07-21","0023","35000",
"JL23070042","2023-07-21","0038","20000",
"JL23070043","2023-07-22","0032","60000",
"JL23070043","2023-07-22","0008","40000",
"JL23070043","2023-07-22","0009","45000",
"JL23070044","2023-07-23","0004","120000",
"JL23070044","2023-07-23","0007","50000",
"JL23070045","2023-07-23","0010","40000",
"JL23070045","2023-07-23","0023","35000",
"JL23070046","2023-07-23","0004","120000",
"JL23070046","2023-07-23","0004","120000",
"JL23070047","2023-07-24","0016","70000",
"JL23070048","2023-07-24","0010","40000",
"JL23070049","2023-07-24","0023","35000",
"JL23070050","2023-07-24","0020","135000",
"JL23070051","2023-07-25","0006","45000",
"JL23070052","2023-07-25","0003","95000",
"JL23070052","2023-07-25","0003","95000",
"JL23070053","2023-07-28","0003","95000",
"JL23070054","2023-07-29","0008","40000",
"JL23070054","2023-07-29","0009","45000",
"JL23070055","2023-07-29","0003","95000",
"JL23070056","2023-07-29","0012","65000",
"JL23070057","2023-07-29","0013","120000",
"JL23080001","2023-08-01","0012","65000",
"JL23080001","2023-08-01","0012","65000",
"JL23080002","2023-08-04","0003","95000",
"JL23080002","2023-08-04","0007","50000",
"JL23080003","2023-08-05","0013","120000",
"JL23080004","2023-08-05","0035","110000",
"JL23080005","2023-08-05","0035","110000",
"JL23080006","2023-08-05","0004","120000",
"JL23080007","2023-08-06","0035","110000",
"JL23080007","2023-08-06","0035","110000",
"JL23080008","2023-08-08","0008","40000",
"JL23080008","2023-08-08","0009","45000",
"JL23080008","2023-08-08","0008","40000",
